,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
502,Morondava,MG,83.17,clear sky,-20.2833,44.2833,La Case Bambou
506,Presidente Dutra,BR,77.32,light rain,-5.29,-44.49,Pousada Planalto
511,Pucallpa,PE,89.6,scattered clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
512,Florianopolis,BR,80.01,moderate rain,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
517,Tomatlan,MX,82.47,clear sky,19.9333,-105.25,Norma franco
519,French Harbor,HN,79.0,light rain,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
525,Honiara,SB,84.49,overcast clouds,-9.4333,159.95,Heritage Park Hotel
528,Sao Raimundo Nonato,BR,77.27,clear sky,-9.0153,-42.6994,Real Hotel
529,Tual,ID,82.45,light rain,-5.6667,132.75,Grand Vilia Hotel
530,Kuching,MY,77.0,scattered clouds,1.55,110.3333,Hilton Kuching
533,Presidencia Roque Saenz Pena,AR,77.79,scattered clouds,-26.7852,-60.4388,Hotel Gualok
539,Lhokseumawe,ID,77.9,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
544,Camacari,BR,82.4,scattered clouds,-12.6975,-38.3242,Sítio Blasi
545,Koupela,BF,75.61,overcast clouds,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
550,Cap Malheureux,MU,80.01,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
551,Wamba,NG,76.69,clear sky,8.9333,8.6,Roma Zee Guest House Annex
552,Sabang,ID,81.72,heavy intensity rain,5.8933,95.3214,Hotel Citra
558,Guaimaca,HN,75.2,scattered clouds,14.5333,-86.8167,HOTEL SIERRA
562,Mormugao,IN,77.41,scattered clouds,15.4,73.8,Coconut Creek Resort
568,Zarate,AR,77.0,clear sky,-34.0981,-59.0286,Departamento céntrico 2 ambientes 45 mt2 en Zárate
578,Kampot,KH,75.2,few clouds,10.6167,104.1833,Two Moons Hotel
582,Venado Tuerto,AR,86.27,clear sky,-33.7456,-61.9688,La Bianca.
585,Pontianak,ID,75.2,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
589,Lorengau,PG,84.11,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
591,Tutoia,BR,78.93,moderate rain,-2.7619,-42.2744,Pousada Guará's
596,Acapulco,MX,84.2,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
598,Sao Felix Do Xingu,BR,75.42,heavy intensity rain,-6.6447,-51.995,Rio Xingu Camping
601,Ayorou,NE,75.94,overcast clouds,14.7308,0.9174,Hotel Amenokal
606,Tchaourou,BJ,76.66,few clouds,8.8865,2.5975,SAFIR HOTEL
611,Biak,ID,75.92,overcast clouds,-0.9131,122.8766,Penginapan Kim
615,Itaqui,BR,75.99,overcast clouds,-29.1253,-56.5531,Biasi
616,Siuna,NI,81.63,overcast clouds,13.7332,-84.7773,hotel los chinitos
626,Concordia,AR,79.0,few clouds,-31.393,-58.0209,Palmar Hotel Casino
628,Caravelas,BR,76.53,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
629,Acajutla,SV,86.0,scattered clouds,13.5928,-89.8275,asi es
633,Blackwater,AU,78.3,broken clouds,-23.5833,148.8833,Blackwater Motor Inn
634,Palu,ID,75.6,light rain,-0.8917,119.8707,Hotel Santika Palu
641,Chicomuselo,MX,82.44,light rain,15.7667,-92.2667,Hotel San Carlos
643,San Lorenzo,PY,75.2,broken clouds,-25.3333,-57.5333,Canarias Hotel
649,Namatanai,PG,82.76,scattered clouds,-3.6667,152.4333,Namatanai Hotel
651,Karratha,AU,89.29,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
652,Salinopolis,BR,80.31,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
656,Mana,GF,78.17,overcast clouds,5.6592,-53.7767,LE SAMANA
672,Dibulla,CO,82.33,few clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
673,Alofi,NU,87.8,scattered clouds,-19.0595,-169.9187,Taloa Heights
675,Katherine,AU,80.6,scattered clouds,-14.4667,132.2667,Pine Tree Motel
676,Metapan,SV,86.0,broken clouds,14.3333,-89.45,Hotel San José
677,Labuhan,ID,76.89,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
678,Ilhabela,BR,78.42,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
679,Kavaratti,IN,81.46,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
680,Pundaguitan,PH,77.61,heavy intensity rain,6.3711,126.1689,Leonardo Family Beach House 1
686,Galle,LK,76.91,overcast clouds,6.0367,80.217,Amangalla
689,Sri Aman,MY,75.2,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
691,Portmore,JM,82.4,moderate rain,17.9702,-76.8672,Salmon Way Inn
693,Sao Joao Da Barra,BR,80.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
